Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
246;Kamieńsk;łódzkie; radomszczański;GMW;Urząd Miejski w Kamieńsku;Kamieńsk;97-360;Kamieńsk;ul. Wieluńska;50;(44);681-71-23;kom. 503104526;(44);681-71-53;Burmistrz;Bogdan;Pawłowski;kamiensk@kamiensk.com.pl;kamiensk@kamiensk.com.pl;www.kamiensk.com.pl
247;Przedbórz;łódzkie; radomszczański;GMW;Urząd Miejski w Przedborzu;Przedbórz;97-570;Przedbórz;ul. Mostowa;29;(44);781-22-61;;(44);781-21-80;Burmistrz;Miłosz;Naczyński;umprzedborz@pro.onet.pl;umprzedborz@pro.onet.pl;www.umprzedborz.com.pl
248;Biała Rawska;łódzkie;rawski;GMW;Urząd Miasta Biała Rawska;Biała Rawska;96-230;Biała Rawska;ul. Jana Pawła II;57;(46);815-93-77;;(46);815-94-44;Burmistrz;Wacław;Amdamczyk;umig@bialarawska.pl;umig@bialarawska.pl;www.bialarawska.pl
249;Błaszki;łódzkie;sieradzki;GMW;Urząd Gminy i Miejsta w Błaszkach;Błaszki;98-235;Błaszki;Pl. Niepodległości;13;(43);829-09-58;;(43);829-20-72;Burmistrz;Piotr;Świderski;sekretarz@blaszki.pl;ugblaszki@poczta.onet.pl;www.blaszki.pl
250;Warta;łódzkie;sieradzki;GMW;Urząg Gminy i Miasta w Warcie;Warta;98-290;Warta;Rynek im. St. Wł. Reymonta;1;(43);829-40-01;16;(43);829-40-06;Burmistrz;Jan Józef;Serafiński;gmina@gimwarta.pl;gmina@gimwarta.pl;www.gimwarta.pl
251;Złoczew;łódzkie;sieradzki;GMW;Urząd Miejski w Złoczewie;Złoczew;98-270;Złoczew;ul. Szeroka;17;(43);820-22-70;;(43);820-25-92;Burmistrz;Jadwiga;Sobańska;zloczew.sekretarz@bazagmin.pl;zloczew@bazagmin.pl;http://zloczew.pl/
252;Wieluń;łódzkie;wieluński;GMW;Urząd Miejski w Wieluniu; Wieluń;98-300; Wieluń;Plac Kazimierza Wielkiego;1;(43);886-02-28;;(43);886-02-60;Burmistrz;Janusz;Antczak;majkowskam@um.wielun.pl;um.wielun@um.wielun.pl;www.um.wielun.pl
253;Wieruszów;łódzkie;wieruszowski;GMW;Urząd Miejski w Wieruszowie;Wieruszów;98-400;Wieruszów;ul. Rynek;1/7;(62);784-11-60;;(62);784-17-89;Burmistrz;Bogdan;Nawrocki;um@weruszow.pl;um@weruszow.pl;http://www.wieruszow.pl/
254;Szadek;łódzkie;zduńskowolski;GMW;Urząd Gminy i Miasta Szadek;Szadek;98-240;Szadek;ul. Warszawska;3;(43);821-50-04;;(43);821-57-73;Burmistrz;Artur;Ławniczak;urzadgim@poczta.onet.pl;urzadgim@poczta.onet.pl;www.szadek.net
255;Aleksandrów Łódzki;łódzkie;zgierski;GMW;Urząd Miejski w Aleksandrowie Łódzkim;Aleksandrów Łódzki;95-070;Aleksandrów Łódzki;Plac Kościuszki;2;(42);712-10-18;;(42);712-17-80;Burmistrz;Jacek Zbigniew;Lipiński;kancelaria@aleksandrow-lodzki.pl;kancelaria@aleksandrow-lodzki.pl;www.aleksandrow-lodzki.pl
256;Stryków;łódzkie;zgierski;GMW;Urząd Miasta - Gminy w Strykowie;Stryków;95-010;Stryków;ul. Kościuszki;27;(42);719-80-02;;(42);719-81-93;Burmistrz;Andrzej;Jankowski;anna.sasin@strykow.pl;strykow@strykow.pl;www.strykow.pl
Województwo pomorskie;;;;;;;;;;;;;;;;;;;;;
257;Bytów;pomorskie;bytowski;GMW;Urząd Miejski w Bytowie;Bytów;77-100;Bytów;ul. 1-go Maja;15;(59);822-23-17;151;(59);822-25-92;Burmistrz;Ryszard Jan;Sylka;sekretarz@bytow.com.pl;urzad@bytow.com.pl;www.bytow.com.pl
258;Miastko;pomorskie;bytowski;GMW;Urząd Miejski w Miastku;Miastko;77-200;Miastko;ul. Grunwaldzka;1;(59);857-07-00;;(59);857-23-68;Burmistrz;Roman;Ramion;woa@umig.miastko.pl;woa@umig.miastko.pl;www.miastko.pl
259;Brusy;pomorskie;chojnicki;GMW;Urząd Miejski w Brysach;Brusy;89-632;Brusy;ul. Na Zaborach;1;(52);396-93-02;;(52);396-93-03;Burmistrz;Witold;Ossowski;um@brusy.pl;um@brusy.pl;www.brusy.pl
260;Czersk;pomorskie;chojnicki;GMW;Urząd Miejski w Czersku; Czersk;89-650; Czersk;ul. Kościuszki;27;(52);395-48-60;;(52);395-48-11;Burmistrz;Marek;Jankowski;sekretarz@czersk.pl;urzad_miejski@czersk.pl;www.czersk.pl
261;Czarne;pomorskie;człuchowski;GMW;Urząd Miasta i Gminy Czarne;Czarne;77-330;Czarne;ul. Moniuszki;12;(59);833-20-79;;(59);833-23-53;Burmistrz;Jan;Zieniuk;ugczarne@czarne.pl;ugczarne@czarne.pl;www.czarne.pl
262;Debrzno;pomorskie;człuchowski;GMW;Urząd Miasta i Gminy;Debrzno;77-310;Debrzno;ul. Traugutta;2;(59);833-53-02;kom. 602367345;(59);833-53-66;Burmistrz;Mirosław;Burak;urzad@debrzno.pl;urzad@debrzno.pl;www.debrzno.pl
263;Kartuzy;pomorskie;kartuski;GMW;Urząd Miejski;Kartuzy;83-300;Kartuzy;ul. Gen. Józefa Hallera;1;(58);681-05-02;;(58);681-19-05;Burmistrz;Mirosława Teresa;Lehman;gmina@poczta.kartuzy.pl;gmina@poczta.kartuzy.pl;www.kartuzy.pl
264;Żukowo;pomorskie;kartuski;GMW;Urząd Miasta i Gminy Żukowo;Żukowo;83-330;Żukowo;ul. Gdańska;52;(58);685-83-30;;(58);685-83-30;Burmistrz;Jerzy;Żurawicz;burmistrz@zukowo.pl;burmistrz@zukowo.pl;www.zukowo.pl
265;Prabuty;pomorskie;kwidzyński;GMW;Urząd Miasta i Gminy Prabuty;Prabuty;82-550;Prabuty;ul. Kwidzyńska;2;(55);278-20-01;kom. 603446464;(58);278-20-02;Burmistrz;Bogdan;Pawłowski;biuro@prabuty.pl;biuro@prabuty.pl;www.prabuty.pl
266;Dzierzgoń;pomorskie;sztumski;GMW;Urząd Miejski;Dierzgoń;82-440;Dierzgoń;Plac Wolności;1;(55);276-26-12;;(55);276-22-57;Burmistrz;Kazimierz;Szewczun;sekretarz@dzierzgon.pl;dzierzgon@dzierzgon.pl;www.dzierzgon.pl
267;Nowy Staw;pomorskie;malborski;GMW;Urząd Miejski w Nowym Stawie;Nowy Staw;82-230;Nowy Staw;ul. Bema;1;(55);271-51-00;;(55);271-51-23;Burmistrz;Jerzy ;Szałach;sekretarz@nowystaw.pl;um@nowystaw.pl;www.nowystaw.pl
268;Sztum;pomorskie;sztumski;GMW;Urząd Miasta i Gminy Sztum;Sztum;82-400;Sztum;ul. Mickiewicza;39;(55);640-63-01;;(55);640-63-00;Burmistrz;Leszek;Tabor;daria.mietlewska@sztum.pl;sztum@sztum.pl;www.sztum.pl
269;Krynica Morska;pomorskie;nowodworski;GMW;Urząd Miasta;Krynica Morska;82-314;Krynica Morska;ul. Górników;15;(55);247-65-27;;(55);247-65-66;Burmistrz;Adam;Ostrowski;um@krynicamorska.pl;um@krynicamorska.pl;www.krynicamorska.pl
270;Nowy Dwór Gdański;pomorskie;nowodworski;GMW;Urząd Miejski w Nowym Dworze Gdańskim;Nowy Dwór Gdański;82-100;Nowy Dwór Gdański;ul. Wejhera;3;(55);247-24-01;;(55);247-24-05;Burmistrz;Jacek;Michalski;urzad@miastonowydwor.pl;urzad@miastonowydwor.pl;www.miastonowydwor.pl
271;Kępice;pomorskie;słupski;GMW;Urząd Miejski;Kępice;77-230;Kępice;ul. Niepodległości;6;(59);857-66-21;;(59);857-66-24;Burmistrz;Magdalena;Gryko;poczta@kepice.pl;poczta@kepice.pl;www.kepice.pl
272;Skarszewy;pomorskie;starogardzki;GMW;Urząd Miejski w Skaryszewach;Skarszewy;83-250;Skarszewy;Plac Gen. J. Hallera;18;(58);588-22-01;14;(58);588-26-51;Burmistrz;Dariusz Władysław;Skalski;sug@skaryszewy.pl;skarszewy@skarszewy.pl;http://www.skarszewy.pl/
273;Gniew;pomorskie;tczewski;GMW;Urząd Miasta i Gminy Gniew;Gniew;83-140;Gniew;plac Grunwaldzki;1;(58);535-22-55;134;(58);530-79-40;Burmistrz;Maria;Taraszkiewicz-Gurzyńska;sekretarz@gniew.pl;sekretariat@gniew.pl;www.gniew.pl
274;Pelplin;pomorskie;tczewski;GMW;Urząd Miasta io Gminy Pelplin;Pelplin;83-130;Pelplin;Plac Grunwaldzki;4;(58);536-12-61;;(58);536-14-64;Burmistrz;Andrzej ;Stanuch;sekretarz@pelplin.pl;urzad@pelplin.pl;www.pelplin.pl
Województwo podkarpackie;;;;;;;;;;;;;;;;;;;;;
275;Ulanów;podkarpackie;niżański;GMW;Urząd Gminy i Miasta w Ulanowie;Ulanów;37-410;Ulanów;Rynek;5;(15);876-30-76;;(15);876-30-53;Burmistrz;Stanisław;Garbacz;sekretarz@ulanow.iap.pl;burmistrz@ulanow.iap.pl;www.ulanow.iap.pl
276;Ustrzyki Dolne;podkarpackie;bieszczadzki;GMW;Urząd Miejski w Ustrzykach Dolnych;Ustrzyki Dolne;38-700;Ustrzyki Dolne;ul. Kopernika;1;(13);460-80-00;;(13);460-80-16;Burmistrz;Henryk;Sułuja;um@ustrzyki-dolne.pl;um@ustrzyki-dolne.pl;www.ustrzyki-dolne.pl
277;Brzozów;podkarpackie;brzozowski;GMW;Urząd Miejski w Brzozowie;Brzozów;36-200;Brzozów;ul. Armii Krajowej;1;(13);434-10-50;;(13);434-10-55;Burmistrz;Józef;Rzepka;um_brzozow@brzozow.pl;um_brzozow@brzozow.pl;www.brzozow.pl
278;Brzostek;podkarpackie;dębicki;GMW;Urząd Miejski w  Brzostku;Brzostek;33-125;Brzostek;ul. Rynek;1;(14);680-30-12;;(14);600-30-25;Burmistrz;Leszek;Bieniek;ugbrzostek@tel.debica.pl;ugbrzostek@tel.debica.pl;http://www.brzostek.alpha.pl/index3.php
279;Pilzno;podkarpackie;dębicki;GMW;Urząd Miejski w Pilznie;Pilzno;39-220;Pilzno;ul. Rynek;6;(14);672-10-36;;(14);672-24-91;Burmistrz;Ewa;Gołębiowska;sekretarz@pilzno.um.gov.pl;burmistrz@pilzno.um.gov.pl;www.pilzno.um.gov.pl
280;Lesko;podkarpackie;leski;GMW;Urząd Miasta i Gminy Lesko;Lesko;38-600;Lesko;ul. Parkowa;1;(13);469-66-15;;(13);469-64-58;Burmistrz;Barbara Ewa;Jankiewicz;gmina@lesko.pl;gmina@lesko.pl;www.lesko.pl
281;Kolbuszowa;podkarpackie;kolbuszowski;GMW;Urząd Miejski w Kolbuszowej;Kolbuszowa;36-100;Kolbuszowa;ul. Obrońców Pokoju;21;(17);227-13-33;;(17);227-29-39;Burmistrz;Jan;Żuba;umig@kolbuszowa.pl;umig@kolbuszowa.pl;www.kolbuszowa.pl
282;Dukla;podkarpackie;krośnieński;GMW;Urząd Gminy;Dukla;38-450;Dukla;Trakt Węgierski;11;(13);433-91-00;;(13);433-10-11;Burmistrz;Marek Wacław;Górak;sekretarz@dukla.pl;gmina@dukla.pl;www.dukla.pl
283;Iwonicz-Zdrój;podkarpackie;krośnieński;GMW;Urząd Gminy Iwonicz - Zdrój;Iwonicz - Zdrój;38-440;Iwonicz - Zdrój;Al. Słoneczna ;28;(13);435-02-12;;(13);435-02-12;Burmistrz;Paweł;Pernal;sekretariat@iwonicz-zdroj.pl;sekretariat@iwonicz-zdroj.pl;www.iwonicz-zdroj.pl
284;Jedlicze;podkarpackie;krośnieński;GMW;Urząd Gminy Jedlicze;Jedlicze;38-460;Jedlicze;Rynek;6;(13);448-47-10;;(13);448-47-10;Burmistrz;Zbigniew Józef;Sanocki;ug@jedlicze.pl;ug@jedlicze.pl;www.jedlicze.pl
285;Rymanów;podkarpackie;krośnieński;GMW;Urząd Miejski;Rymanów;38-480;Rymanów;ul. Mitkowskiego;14a;(13);435-50-06;;(13);435-57-65;Burmistrz;Wojciech;Farbaniec;gmina@rymanow.pl;gmina@rymanow.pl;www.rymanow.pl
286;Nowa Sarzyna;podkarpackie;leżajski;GMW;Urząd Miasta i Gminy w Nowej Sarzynie;Nowa Sarzyna;37-310;Nowa Sarzyna;ul. Kopernika;1;(17);241-31-77;;(17);241-31-11;Burmistrz;Jerzy;Paul;umig@nowasarzyna.eu;umig@nowasarzyna.eu;www.nowasarzyna.eu
287;Cieszanów;podkarpackie;lubaczowski;GMW;Urząd Miasta i Gminy w Cieszanowie;Cieszanów;37-611;Cieszanów;Rynek;1;(16);631-10-76;11;(16);631-14-40;Burmistrz;Zdzisław;Zadworny;cieszanowiec@vp.pl;cieszanowiec@vp.pl;www.cieszanow.org
288;Narol;podkarpackie;lubaczowski;GMW;Urząd Miasta i Gminy Narol; Narol;37-610; Narol;Rynek;1;(16);631-70-87;;(16);631-71-04;Burmistrz;Stanisław Andrzej;Woś;sekretarz@narol.pl;gmina@narol.pl;www.narol.pl
289;Oleszyce;podkarpackie;lubaczowski;GMW;Urząd Miasta i Gminy Oleszyce;Oleszyce;37-630;Oleszyce;Rynek;1;(16);631-50-10;;(16);631-56-36;Burmistrz;Andrzej;Gryniewicz;sekretariat@ug.oleszyce.pl;sekretariat@ug.oleszyce.pl;www.ug.oleszyce.pl
290;Radomyśl Wielki;podkarpackie; mielecki;GMW;Urząd Miejski Radomyśl Wielki;Radomyśl Wielki;33-225;Radomyśl Wielki;Rynek;32;(14);681-91-21;;(14);681-91-23;Burmistrz;Józef ;Rybiński;sekretariat@radomyslwielki.pl;sekretariat@radomyslwielki.pl;www.radomyslwielki.pl
291;Nisko;podkarpackie;niżański;GMW;Urząd Gminy i Miasta Nisko;Nisko;37-400;Nisko;Pl. Wolności;14;(15);841-56-43;;(15);841-56-30;Burmistrz;Juliusz;Ozimek;ugim@nisko.pl;ugim@nisko.pl;www.nisko.pl
292;Rudnik nad Sanem;podkarpackie;niżański;GMW;Urząd Gminy i Miasta; Rudnik nad Sanem;37-420; Rudnik nad Sanem;Rynek;40;(15);876-10-02;;(15);876-11-19;Burmistrz;Waldemar;Grochowski;info@rudnik.pl;info@rudnik.pl;www.rudnik.pl
293;Kańczuga;podkarpackie;przeworski;GMW;Urząd Miasta i Gminy Kańczuga;Kańczuga;37-220;Kańczuga;ul. Konopnickiej;2;(16);642-31-42;;(16);642-66-30;Burmistrz;Jacek;Sołek;ugim_kanczuga@post.home.pl;ugim_kanczuga@post.home.pl;www.kanczuga.pl
294;Sieniawa;podkarpackie;przeworski;GMW;Urząd Miejski;Sieniawa;37-530;Sieniawa;Rynek;1;(16);622-73-01;;(16);622-73-01;Burmistrz;Adam;Woś;sekretarz@sieniawa.pl;urzad@sieniawa.pl;www.sieniawa.pl
295;Ropczyce;podkarpackie; ropczycko-sędziszowski;GMW;Urząd Miejski;Ropczyce;39-100;Ropczyce;ul. Krisego;1;(17);221-05-10;;(17);221-05-55;Burmistrz;Bolesław;Bujak;ropczyce@intertele.pl;ropczyce@intertele.pl;www.ropczyce.umig.gov.pl
296;Sędziszów Małopolski;podkarpackie; ropczycko-sędziszowski;GMW;Urząd Miejski w Sędziszowie Małopolskim;Sędziszów Małopolski;39-120;Sędziszów Małopolski;Rynek;1;(17);221-60-01;;(17);221-63-13;Burmistrz;Kazimierz;Kiełb;um@sedziszow-mlp.pl;um@sedziszow-mlp.pl;www.sedziszow-mlp.pl
297;Błażowa;podkarpackie;rzeszowski;GMW;Urząd Miejski w Błażowej;Błażowa;36-030;Błażowa;Pl. Jana Pawła II;1;(17);229-71-19;;(17);229-70-77;Burmistrz;Zygmunt;Kustra;blazowa@blazowa.itl.pl;blazowa@blazowa.itl.pl;www.blazowa.itl.pl
298;Boguchwała;podkarpackie;rzeszowski;GMW;Urząd Miejski w Boguchwale;Boguchwała;36-040;Boguchwała;ul. Tkaczowa;134;(17);875-52-00;;(17);875-52-09;Burmistrz;Wiesław Henryk;Dronka;um@boguchwala.pl;um@boguchwala.pl;www.boguchwala.pl
299;Głogów Małopolski;podkarpackie;rzeszowski;GMW;Urząd Miejski w Głogowie Małopolskim;Głogów Małopolski;36-060;Głogów Małopolski;ul. Rynek;1;(17);851-72-41;;(17);851-75-22;Burmistrz;Paweł;Baj;j.surowiec@glogow-mlp.pl ;umig@glogow-mlp.pl;www.glogow-mlp.pl
300;Sokołów Małopolski;podkarpackie;rzeszowski;GMW;Urząd Gminy i Miasta;Sokołów Małopolski;36-140;Sokołów Małopolski;ul. Rynek;2;(17);772-90-19;;(17);7729019 wew. 28;Burmistrz;Andrzej;Ożóg;burmistrz@sokolow-mlp.pl;ugim@sokolow-mlp.pl;www.sokolow-mlp.pl
301;Tyczyn;podkarpackie;rzeszowski;GMW;Urząd Miejski w Tyczynie;Tyczyn;36-020;Tyczyn;ul. Rynek;18;(17);221-93-10;;(17);221-92-17;Burmistrz;Jan;Hermaniuk;sekretarz@tyczyn.pl;tyczyn@tyczyn.pl;www.tyczyn.pl
302;Zagórz;podkarpackie;sanocki;GMW;Urząd Miasta i Gminy Zagórz;Zagórz;38-540;Zagórz;ul. 3 Maja;2;(13);462-20-62;;(13);462-20-62;Burmistrz;Ernest;Nowak;sekretarz@zagorz.pl;urzad@zagorz.pl;www.zagorz.pl
303;Strzyżów;podkarpackie;strzyżowski;GMW;Urząd Miejski w Strzyżowie;Strzyżów;38-100;Strzyżów;ul. Przecławczyka;5;(17);276-13-54;42;(17);276-32-19;Burmistrz;Marek;Śliwiński;marczakm@strzyzow.pl;gmina@strzyzow.pl;www.strzyzow.pl
304;Baranów Sandomierski;podkarpackie; tarnobrzeski;GMW;Urząd Miasta i Gminy w Baranowie Sandomierskim;Baranów Sandomierski;39-450;Baranów Sandomierski;ul. Okulickiego;1;(15);811-85-81;;(15);811-85-82;Burmistrz;Jacek;Hynowski;sekretarz@baranowsandomierski.pl;urzad@baranowsandomierski.pl;www.baranowsandomierski.pl
305;Nowa Dęba;podkarpackie; tarnobrzeski;GMW;Urząd Miasta i Gminy Nowa Dęba;Nowa Dęba;39-460;Nowa Dęba;ul. Rzeszowska;3;(15);846-24-21;;(15);846-51-37;Burmistrz;Wiesław;Ordon;sekretarz@nowadeba.pl;gmina@nowadeba.pl;www.nowadeba.pl
Województwo świętokrzyskie;;;;;;;;;;;;;;;;;;;;;
306;Bodzentyn;świętokrzyskie;kielecki;GMW;Urzad Miasta i Gminy Bodzentyn;Bodzentyn;26-010;Bodzentyn;ul. Suchedniowska;3;(41);311-50-10;;(41);311-51-16;Burmistrz;Stanisław Marek;Krak;bodzentyn@post.pl;bodzentyn@post.pl;www.bodzentyn.ugm.pl
307;Busko-Zdrój;świętokrzyskie;buski;GMW;Urząd Miasta i Gminy Busko Zdrój;Busko- Zdrój;28-100;Busko-Zdrój;ul. Mickiewicza;10;(41);370-52-00;;(41);370-52-90;Burmistrz;Waldemar;Sikora;urząd@umig.busko.pl;urząd@umig.busko.pl;www.umig.busko.pl
308;Chęciny;świętokrzyskie;kielecki;GMW;Urzad Gminy i Miasta Chęciny;Chęciny;26-060;Chęciny;Pl. 2 Czerwca;4;(41);315-10-06;43;(41);315-10-85;Burmistrz;Robert;Jaworski;sekretarzbrola@checiny.pl;gmina@checiny.pl;www.checiny.pl
309;Chmielnik;świętokrzyskie;kielecki;GMW;Urząd Miasta i Gminy;Chmielnik;26-020;Chmielnik;plac Kościelny;5;(41);354-32-73;;(41);354-22-78;Burmistrz;Jarosław Jerzy;Zatorski;umig@chmielnik.com;umig@chmielnik.com;www.chmielnik.com
310;Ćmielów;świętokrzyskie;ostrowiecki;GMW;Urząd Miasta i Gminy;Ćmielów;27-440;Ćmielów;ul. Ostrowiecka;40;(15);861-20-18;12;(15);861-20-18;Burmistrz;Jan;Kuśmierz;urzad@cmielow.pl;urzad@cmielow.pl;www.cmielow.pl
311;Daleszyce;świętokrzyskie;kielecki;GMW;Urząd Miasta i Gminy;Daleszyce;26-021;Daleszyce;Plac Staszica;9;(41);317-16-94;;(41);317-16-93;Burmistrz;Wojciech;Furmanek;sekretarz@daleszyce.pl;gmina@daleszyce.pl;www.daleszyce.pl
312;Działoszyce;świętokrzyskie;pińczowski;GMW;Urząd Miasta i Gminy;Działoszyce;28-440;Działoszyce;ul. Skalbmierska;5;(41);352-60-85;;(41);352-69-00;Burmistrz;Zdzisław;Leks;gmina@działoszyce.pl;gmina@działoszyce.pl;www.działoszyce.pl
313;Jędrzejów;świętokrzyskie;jędrzejowski;GMW;Urząd Miasta i Gminy;Jędrzejów;28-300;Jędzrejów;ul. 11 Listopada;33;(41);386-10-10;;(41);386-12-67;Burmistrz;Marcin;Piszczek;sekretariat@umjedrzejow.pl;sekretariat@umjedrzejow.pl;www.umjedrzejow.pl
314;Kazimierza Wielka;świętokrzyskie;kazimierski;GMW;Urząd Miasta i Gminy;Kazimierza Wielka;28-500;Kazimierza Wielka;ul. Kościuszki;12;(41);352-19-37;;(41);352-19-56;Burmistrz;Waldemar;Trzaska;sekretarz@kazimierzawielka.pl;uimg@kazimierzawielka.pl;www.kazimierzawielka.pl
315;Końskie;świętokrzyskie;konecki;GMW;Urząd Miasta i Gminy;Końskie;26-200;Końskie;ul. Partyzantów;1;(41);372-32-49;;(41);372-29-55;Burmistrz;Michał;Cichocki;sekretarz@umkonskie.pl;sekretariat@umkonskie.pl;www.umkonskie.pl
316;Koprzywnica;świętokrzyskie;sandomierski;GMW;Urząd Miasta i Gminy;Koprzywnica;27-660;Koprzywnica;ul. 11 Listopada ;88;(15);847-70-40;50;(15);847-70-77;Burmistrz;Marek;Jońca;umig.koprzywnica@pro.onet.pl;umig.koprzywnica@pro.onet.pl;www.koprzywnica.eu
317;Kunów;świętokrzyskie;ostrowiecki;GMW;Urząd Miasta i Gminy;Kunów;27-415;Kunów;ul. Warszawska;45b;(41);261-31-74;31;(41);2613174 wew. 60;Burmistrz;Beata;Duda;sekretarz@kunow.pl;urzad@kunow.pl;www.kunow.pl
318;Małogoszcz;świętokrzyskie;jędrzejowski;GMW;Urząd Miasta i Gminy;Małogoszcz;28-366;Małogoszcz;ul. Jaszowskiego;3A;(41);385-51-35;;(41);386-01-50;Burmistrz;Jan;Głogowski;sekretarz@małogoszcz.pl;malogoszcz@eobip.pl ;www.malogoszcz.pl
319;Opatów;świętokrzyskie;opatowski;GMW;Urząd Miasta i Gminy;Opatów;27-500;Opatów;Plac Obrońców Pokoju;34;(15);868-13-00;;(15);868-46-47;Burmistrz;Andrzej Stanisław;Chaniecki;sekretariat@opatow.um.gov.pl;sekretariat@opatow.um.gov.pl;www.opatow.um.gov.pl
320;Osiek;świętokrzyskie;staszowski;GMW;Urząd Miasta i Gminy;Osiek;28-221;Osiek;ul. Rynek;1;(15);867-12-03;;(15);867-12-32;Burmistrz;Włodzimierz;Wawrzkiewicz;umig.osiek@onet.pl;umig.osiek@onet.pl;http://www.bip.osiek.iap.pl/
321;Ożarów ;świętokrzyskie;opatowski;GMW;Urząd Miasta i Gminy;Ożarów ;27-530;Ożarów ;ul. Stodolna;1;(15);861-07-00;;(15);861-11-36;Burmistrz;Marcin;Majcher;sekretarz@ozarow.pl;urzad@ozarow.pl;www.ozarow.pl
322;Pińczów;świętokrzyskie;pińczowski;GMW;Urząd Miejski;Pińczów;28-400;Pińczów;ul. 3 Maja;10;(41);357-38-72;;(41);357-26-45;Burmistrz;Włodzimierz;Badurak;burmistrz@pinczow.com.pl;burmistrz@pinczow.com.pl;www.pinczow.com.pl
323;Połaniec;świętokrzyskie;staszowski;GMW;Urząd Miasta i Gminy;Połaniec;28-230;Połaniec;ul. Ruszczańska;27;(15);865-00-50;419;(15);865-03-28;Burmistrz;Jacek;Tarnowski;sekretariat@umig.polaniec.pl;sekretariat@umig.polaniec.pl;http://www.polaniec.pl/
324;Sędziszów ;świętokrzyskie;jędrzejowski;GMW;Urząd Miasta i Gminy;Sędziszów ;28-340;Sędziszów ;ul. Dworcowa ;20;(41);381-02-10;;(41);381-11-31;Burmistrz;Wacław;Szarek;burmistrz@sedziszow.pl;burmistrz@sedziszow.pl;www.sedziszow.pl
325;Skalbmierz;świętokrzyskie;kazimierski;GMW;Urząd Miasta i Gminy;Skalbmierz;28-530;Skalbmierz;ul. Kościuszki;1;(41);352-90-85;219;(41);352-90-85 wew. 232;Burmistrz;Michał;Markiewicz;sekretariat@skalbmierz.eu;sekretariat@skalbmierz.eu;www.skalbmierz.eu
326;Staszów;świętokrzyskie;staszowski;GMW;Urząd Miasta i Gminy;Staszów;28-200;Staszów;ul. Opatowska;31;(15);864-83-30;;(15);864-32-61;Burmistrz;Romuald;Garczewski;sekretarz@staszow.pl;biuro@staszow.pl;www.staszow.pl
327;Stąporków;świętokrzyskie;konecki;GMW;Urząd Miasta i Gminy;Stąporków;26-220;Stąporków;ul. Marszałka Józefa Piłsudskiego;132A;(41);374-11-22;;(41);374-18-60;Burmistrz;Dorota;Łukomska;sekretariat@staporkow.pl;sekretariat@staporkow.pl;www.staporkow.pl
328;Suchedniów;świętokrzyskie;skarżyski;GMW;Urząd Miasta i Gminy;Suchedniów;26-130;Suchedniów;ul. Fabryczna;5;(41);254-30-02;;(41);254-30-90;Burmistrz;Tadeusz;Bałchanowski;suchedniow@poczta.fm;suchedniow@poczta.fm;www.suchedniow.pl
329;Wąchock;świętokrzyskie;starachowicki;GMW;Urząd Miasta i Gminy;Wąchock;27-215;Wąchock;ul. Wielkowiejska;1;(41);273-61-30;;(41);273-61-59;Burmistrz;Jarosław ;Samela;sekretarz@wachock.pl;burmistrz@wachock.pl;www.wachock.pl
330;Włoszczowa;świętokrzyskie;włoszczowski;GMW;Urząd Miasta i Gminy;Włoszczowa;29-100;Włoszczowa;ul. Partyzantów;14;(41);394-26-69;;(41);394-23-39;Burmistrz;Bartłomiej;Dorywalski;burmistrz.wloszczowa.tlw@gminypolskie.pl;burmistrz.wloszczowa.tlw@gminypolskie.pl;www.gmina-wloszczowa.pl
331;Zawichost;świętokrzyskie;sandomierski;GMW;Urząd Miasta i Gminy;Zawichost;27-630;Zawichost;ul. Żeromskiego;50;(15);836-41-15;;(15);836-40-51;Burmistrz;Tomasz;Siwek;g.polec@zawichost.pl;urzad@zawichost.pl;www.zawichost.pl
Województwo śląskie;;;;;;;;;;;;;;;;;;;;;
332;Blachownia;śląskie;częstochowski;GMW;Urząd Miejski w Blachowni;Blachownia;42-290;Blachownia;ul. Sienkiewicza;22;(34);327-04-38;;(34);327-04-61;Burmistrz;Anetta;Ujma;sekretarz@blachownia.com.pl;sekretariat@blachownia.pl;www.blachownia.com.pl
333;Czerwionka-Leszczyny;śląskie;rybnicki;GMW;Urząd Gminy i Miasta ;Czerwionka-Leszczyny;44-230;Czerwionka-Leszczyny;ul. Parkowa;9;(32);429-59-34;;(32);431-17-60;Burmistrz;Wiesław;Janiszewski;se@czerwionka-leszczyny.com.pl;ka@czerwionka-leszczyny.com.pl;www.czerwionka-leszczyny.com.pl
334;Kłobuck;śląskie;kłobucki;GMW;Urząd Miejski;Kłobuck;42-100;Kłobuck;ul. 11 Listopada ;6;(34);310-01-50;;(34);317-26-61;Burmistrz;Krzysztof ;Nowak;sekretarz@gminaklobuck.pl;sekretariat@gminaklobuck.pl;http://www.gminaklobuck.pl/main/index.html
335;Koniecpol;śląskie;częstochowski;GMW;Urząd Miasta i Gminy;Koniecpol;42-230;Koniecpol;ul. Chrząstowska;6 A;(34);355-11-50;;(34);355-17-56;Burmistrz;Józef Tomasz ;Kałuża;sekretarz@koniecpol.pl;koniecpol@gminy.pl;www.koniecpol.pl
